제목,평점,댓글
인터스텔라,8,아빠는 왜 딸만 편애하냐?ㅋㅋ 결말 부분에서도 늙은 딸만 찾고 아들은 찾지도 않고ㅋㅋ 뭐냐
특송,8,"갑작스런 박소담의 애기에 대한 태도변화가 스토리몰입에 방해되고, 액션에서 저렇게 몸을 쓸 수 있는 개연성 부족. 그 외 연기는 정말 좋습니다"
기적,7,그럭저럭 무난하게 봤어요..
웨스트 사이드 스토리,10,난 왜 재밌지… 진짜… 강추
극장판 귀멸의 칼날: 무한열차편,10,여태까지 본 영화중 가장 인상깊었습니다
어나더 라운드,7,"어느 덧 옅어진 젊음속에, 매일 반복되는 하루에 지치고 삶이라는 무게에 무기력해진 중년들을 위하여"
나의 흑역사 로맨티카,5,진짜 너무너무 별로네요.
씽2게더,7,음악이 견인하는 힘은 위대해.
미션,7,그럭저럭 봤어요. 시대상을 감안해야 하나..
스파이더맨: 노 웨이 홈,6,"그리운 얼굴들 보니 즐겁긴 했으나, 감동은 없음ㆍ"
콜리니 케이스,8,복수 소재로 스토리의 흐름은 사실 뻔한데 그래도 과거 회상할 때 눈물이 날 뻔 했다. 독일에서 만든 영화란게 좀 놀라왔음
특송,10,역시 믿고 보는 박소담 배우와 엄혜란 배우. 액션씬 최고 . 코로나의 답답함에 속시원해지는 영화!
킹스맨: 퍼스트 에이전트,10,난 스파이더맨보다 낫던데 평점이 너무 낮다
보이콰이어,7,불륜이긴 하지만 그래도 아이 지원하고 재능을 살리게 도와주는 기본 역할은 해주는 아버지를 둔 소년이 행운처럼 느껴지기도 한다
신들의 분노,10,기대되는 작품이에요!
해피 뉴 이어,6,그냥저냥 무난한 연말연시 기획영화네요.
신들의 분노,10,보는 내내 눈이 즐거웠어요!!!잼썼어요!
최종병기 활,1,토 나온다 망
이터널스,2,나중이고 나발이고 더럽게 재미없네 ㅎㄷㄷ
이터널스,2,진짜 노잼... 마블 관련 영화중 이렇게 유치한건 처음봄.
씽2게더,10,
블레이드 러너 2049,7,아이로 시작한 스토리 설정은 좋은데 전체적인 스토리가 그렇게 흥미롭지는 않음...  장면들이 의미 있어서 많이 지루하진 않으나 원작같은 명장면이 없고 재미가 좀 떨어짐
배니싱 트윈,6,지수원 뉸냐 만으로도 볼 가치가 있음
미싱타는 여자들,10,"엔딩 크레딧이 끝날때까지 관객 누구도 일어시지 못했던 영화, 불이 들어왔을때 비로소 터졌던 격려의 박수, 학교 다니는게 지극히 평범했던 10대 20대를 지나온 일상에 감사함을 느낀다."
씽2게더,10,더빙판 노래 너무 좋았어요.
스파이더맨: 노 웨이 홈,10,"부대찌개에 스팸, 소시지, 채소, 라면이 적당히 들어가서 잘 끓었는데 그걸 먹은 느낌이랄까요? 잡탕이랑 비교가 안 된다."
신들의 분노,10,"영화는 이런 맛에 보는거 아니겠습니까 ,, 영상미로 눈호강 제대로"
드라이빙 미스 데이지,10,"한 권의 잔잔한 소설책을 읽은 기분입니다. 요즘은 자극적인 영화, 드라마가 많은데...드라이빙 미스 데이지 보며 힐링했습니다. 감사합니다!"
특송,10,걍 박소담이 매력적이고 생각보다 ㄱㅊ은 영화
레지던트 이블: 라쿤시티,8,영화라기보다는 원작 팬분들은 실사화에 중점을 두고 관람하셔야할듯
82년생 김지영,2,페미는 정신병 ....
블루버스데이,10,너무 재밌게 잘 봤어요. 드라마 버전은 안봤는데 어떻게 다른가 영화보고와서 보기 시작함ㅋㅋ
도쿄 리벤저스,10,재밌누누와윌럼프링글스
신들의 분노,10,세상에 이런 영화도 있구나 햇다.. 진짜 독특한 재미가 있다
씽2게더,10,여려움이있어도 포기하지말고 끝까지 해낼수있다 보여주는 영화였습니다ㅠㅠ 덕분해 감동적으로 감정을 느겼습니다
신들의 분노,10,신선한 영상 충격이 필요할 때 강추합니다!!!
이터널스,2,
버즈 오브 프레이(할리 퀸의 황홀한 해방),9,마고로비가 할리퀸했다  하지만 헐리우드판 걸복동 여자몇이 남자 수십명 쥐어패는건 어색한
레지던트 이블: 라쿤시티,4,차라리 애니메이션으로 제작했다면...
신들의 분노,10,1점은 아닙니다. 평점 조절용입니다.
스파이더맨: 노 웨이 홈,8,"시공간이 무너지면서 둘이 싸우는 모습도 멋지고, 셋이서 합심해서 싸우는 것도 멋져요 다만...철부지 학생을 표현해놔서 많이 답답함을 느낌 ㅋ"
씽2게더,8,포르샤 보컬에 소름 돋았음.
어바웃 타임,10,하루하루를 되새기며 행복해질 수 있는 영화
드라이빙 미스 데이지,10,
매트릭스: 리저렉션,4,시간낭비였다.. 남여 주인공은 여전히 잘생겼고 예뻤다 스토리 이해가 어려워서 집중이 안된다
이터널스,2,하아....안볼수는 없어서 끝까지 보긴 했는데 진짜 너무너무 지루하다..
곰돌이 푸 다시 만나 행복해,9,곰돌이 푸랑 친구들이 기깔나는 그래픽이 아니라 꼬질꼬질한 인형으로 표현된게 오히려 더 따뜻하고 귀엽고 좋았어요~ 안아주고 싶은 기분
킹스맨: 퍼스트 에이전트,10,기가막히게 좋은 영화였습니다 재미있게 잘봤구요다른편이 또 나왔음 좋겠어요
연애 빠진 로맨스,7,마지막에 아버지와 화해 장면이나 화목하게 지내는 장면이 있었으면 좋았을 것 같은데 여주의 일방적인 대사후에 그 뒤로 아버지가 나오지 않아 아쉬웠습니다..
킹스맨: 퍼스트 에이전트,8,"신난 킬링타임. 단, 악인의 서사가 없다"
